LSOA21CD,Population,Households,Working_population,Students,Unemployed,Age_over_65,Disability,No_central_heating,Overcrowding,Working_from_home
E01006562,1483,694,480,84,5.5267703,13.5536076,27.7815239,12,29,66
E01006596,1421,573,678,81,1.8803419,21.8706048,16.8191414,6,11,271
E01006607,1544,640,612,78,3.4817814,18.6934023,26.4896373,9,27,83
E01006724,1589,504,593,783,2.9757785,7.3047859,15.2926369,8,19,159
E01006422,1249,556,591,49,1.682243,27.0616493,20.1761409,8,10,157
E01006689,1579,673,808,88,1.6342412,19.7593414,15.5161495,18,8,316
E01006811,1312,605,523,40,2.4669604,31.3069909,25.6859756,9,19,98
E01006552,1862,764,632,224,5.3975201,6.7705535,18.5821697,13,75,149
E01006423,1331,527,687,55,2.283105,20.2407825,16.3786627,7,11,181
E01033747,1930,809,754,115,4.1722746,14.4702842,24.9222798,8,24,144
E01006612,1440,711,525,80,4.5144804,17.9042332,29.5138889,5,19,93
E01033761,2158,1072,1235,897,2.8095238,1.0648148,12.6506024,53,33,429
E01006633,1378,682,470,70,3.2918149,19.6350365,32.0029028,11,31,97
E01006812,1471,594,576,68,4.0577096,13.4602311,26.4445955,4,32,70
E01006556,2070,837,551,405,7.1518987,7.0082165,21.0628019,28,83,93
E01006427,1432,628,663,73,2.9484029,25.2447552,22.2765363,7,8,171
E01006545,1353,594,616,92,4.6490428,14.7626113,21.1382114,17,14,126
E01006729,1442,520,512,118,5.4995417,12.1968122,25.3814147,12,22,62
E01033762,3677,603,1002,2858,1.4088398,1.3594345,13.1357085,24,25,212
E01032505,1276,565,559,74,3.5238095,19.6708464,21.2382445,8,16,161
E01006813,1450,676,614,48,3.7510656,18.9524466,25.1034483,12,18,92
E01006674,2425,884,678,252,7.0615034,8.8247423,19.4639175,32,104,153
E01006546,1339,590,580,61,5.4832714,11.7427076,21.2845407,36,27,80
E01032510,2154,952,1068,98,3.7878788,10.8372093,18.6629526,19,23,226
E01034405,2403,408,510,1939,0.5620406,0.8739076,12.9837703,19,38,145
E01032506,1422,678,717,153,3.0669895,17.2292546,22.6441632,24,21,255
E01006814,1423,602,711,46,2.1155411,25.6680731,19.6064652,4,9,136
E01006679,2720,953,738,370,6.5261044,9.0106657,20.0367647,21,134,195
E01006547,1667,749,628,153,6.8545316,9.9639856,19.7960408,21,50,93
E01006426,1355,625,513,46,5.2054795,16.1742984,29.5202952,12,24,70
E01006815,1245,551,579,56,3.0798845,22.248996,24.2570281,8,6,92
E01006709,1498,666,597,76,4.3956044,17.4983367,26.435247,6,21,146
E01006548,1811,758,657,124,6.0332871,15.397351,23.5229155,13,39,97
E01034406,1460,425,565,944,1.181376,2.4708305,10.7534247,15,21,183
E01032507,1380,647,810,79,2.7522936,13.8405797,18.6956522,18,14,331
E01032511,1337,606,578,61,2.003643,22.1391174,25.6544503,23,18,126
E01006428,1569,641,685,79,4.0506329,12.1019108,21.6061185,11,14,126
E01006818,1205,521,538,34,2.5986526,31.1570248,20.9958506,5,6,115
E01006769,1339,659,480,50,4.0613718,25.1874063,33.0097087,12,12,85
E01006766,1278,582,513,75,5.8415842,9.0054816,25.1956182,17,31,70
E01033750,2185,1137,1492,477,2.7671756,6.0036664,14.5537757,44,25,561
E01033748,1205,727,894,74,3.9647577,8.4647303,11.0373444,18,9,323
E01006608,1125,517,497,56,2.4678112,18.8444444,24.8888889,12,10,119
E01006429,1125,480,427,58,4.4994376,16.6370107,29.1555556,8,13,56
E01006770,1160,503,483,50,3.4178611,17.7739431,24.5689655,8,22,96
E01006822,1508,638,694,69,1.5372168,23.5605559,15.7824934,5,9,229
E01006771,1584,809,533,64,4.0831477,27.0714738,36.0479798,13,12,94
E01006767,1840,809,787,137,6.0984061,10.0434311,19.6195652,34,34,141
E01033756,1013,576,575,233,3.3811475,8.6138614,12.8331688,26,19,198
E01033767,1007,518,432,55,3.9806996,13.9303483,24.1310824,10,23,106
E01006609,1203,531,554,75,3.9755352,14.8547718,21.113882,13,14,125
E01006431,1839,838,935,73,2.6578073,16.2044589,17.0201196,11,22,236
E01006610,1462,688,551,73,4.3852107,17.260274,27.8385773,30,19,102
E01006772,1115,491,513,52,2.7484144,22.2520107,23.7668161,9,11,123
